model,top1_match,top2_hit,soft_match,regret,pareto_hit,mean_metric1_regret,p90_metric1_regret,strategy3_over_prediction,pred_strategy_counts
pairwise_corrected_w0.35_p30,0.543859649122807,0.7982456140350878,0.6609524999962684,0.03731862947224855,0.6842105263157895,0.03112365533174503,0.08230452674897173,16,"{""1"": 5, ""2"": 24, ""3"": 69, ""4"": 16}"
pairwise_corrected_w0.35_p30.05,0.5350877192982456,0.8070175438596491,0.6666488951364067,0.03780082259524851,0.6842105263157895,0.03152976319399324,0.0841049382716048,11,"{""1"": 5, ""2"": 27, ""3"": 64, ""4"": 18}"
reg_forest_t15_d5,0.5263157894736842,0.7456140350877193,0.6217769120364632,0.042503567732736204,0.6754385964912281,0.03546299304502684,0.09859396433470498,20,"{""1"": 6, ""2"": 26, ""3"": 73, ""4"": 9}"
pairwise_corrected_w0.55_p30.05,0.5087719298245614,0.7982456140350878,0.6313795629104674,0.03994593135932259,0.6754385964912281,0.0333008447043535,0.09319272976680373,4,"{""1"": 10, ""2"": 29, ""3"": 57, ""4"": 18}"
pairwise_corrected_w0.55_p30.1,0.5087719298245614,0.7894736842105263,0.6311584686163952,0.03997317253223187,0.6754385964912281,0.03332340625225618,0.09319272976680373,3,"{""1"": 10, ""2"": 29, ""3"": 56, ""4"": 19}"
